投稿ID,アカウントID,アカウントのユーザーネーム,アカウント名,説明,時間(秒),公開時間,リンク,投稿タイプ,データコメント,日時,ビュー,リーチ,いいね！の数,シェア数,フォロー数,コメント数,保存数
18130409947506245,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「午王エポナ」

・水属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！

あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",12,"01/22/2026 23:18",https://www.instagram.com/reel/DT2Ceuaj1qG/,IGリール動画,,通算,224,167,5,0,0,0,2
18051929972456569,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「十二神ウルト」

・草属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！
あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",12,"01/26/2026 00:56",https://www.instagram.com/reel/DT98Vk_j_J-/,IGリール動画,,通算,516,445,3,0,0,0,0
17905318401345298,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「ゼウスオルタ」

・光属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！
あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",12,"01/27/2026 00:13",https://www.instagram.com/reel/DUAcpzZD0E2/,IGリール動画,,通算,156,112,2,0,0,0,1
18252922063290298,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのモンスターをご紹介！

「グリムヒルデ・わかきすがた」

・闇属性
・星5モンスター

お気に入りのモンスターをコレクションしたり、
育成してバトルができます！
あなたはこのモンスター知ってましたか？
ぜひ気軽にコメントで教えてください👇

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",12,"01/28/2026 01:16",https://www.instagram.com/reel/DUDIqKNj9Kj/,IGリール動画,,通算,199,150,2,0,0,0,1
18110067433591304,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトには魅力的なモンスターが1000種類以上！

あなた好みの1体が、きっとここで見つかるはず。
自慢のパーティを組んで、最強を目指しませんか？⚔️

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",14,"01/28/2026 18:28",https://www.instagram.com/reel/DUE-w74j3iu/,IGリール動画,,通算,373,344,7,0,0,0,2
17999308868721159,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのバトルは奥が深い！

属性相性を考えるだけで、格上の相手にも勝てるチャンスが！？
あなたも最強のチームを編成しよう！

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",11,"01/28/2026 21:44",https://www.instagram.com/reel/DUFVMY2DxP7/,IGリール動画,,通算,200,157,3,0,0,0,0
18090540716104384,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトの世界には、魅力的なモンスターがなんと1000種類以上！
あなたの心に刺さるモンスターが必ず見つかるはず。
「見た目で選ぶ」も「強さで選ぶ」も、楽しみ方はあなた次第！

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",14,"01/29/2026 00:45",https://www.instagram.com/reel/DUFp7DcD4bS/,IGリール動画,,通算,993,892,19,0,4,0,8
17923375386085331,17841478326496503,eggrypto_official,エグリプト公式,"＼戦略は無限大！／
エグリプトのバトルは「属性」が鍵！

動画に登場したモンスターたちには、
それぞれ【火・水・草・光・闇】の属性があります。

✅ 相手の弱点を突くパーティ編成
✅ 属性を活かしたスキル発動

シンプルだけど奥が深い。
あなたの知略で、最強のチームを組み上げよう！🏆

#エグリプト #EGGRYPTO #NFTゲーム #モンスター育成 #スマホゲーム",11,"01/29/2026 00:48",https://www.instagram.com/reel/DUFqOqoj7Jx/,IGリール動画,,通算,164,131,1,0,0,0,2
17870044896542337,17841478326496503,eggrypto_official,エグリプト公式,"【コラボ告知】
エグリプト×東京リベンジャーズコラボ

開催期間：2/13(金)12:00 ～ 2/27(金)11:59",14,"02/08/2026 20:00",https://www.instagram.com/reel/DUheF7tDxWG/,IGリール動画,,通算,187,150,2,0,0,0,0
18070392428562865,17841478326496503,eggrypto_official,エグリプト公式,"花垣武道★5
エグリプト×東京リベンジャーズコラボ

開催期間：2/13(金)12:00 ～ 2/27(金)11:59",12,"02/08/2026 21:00",https://www.instagram.com/reel/DUhk98yjwKu/,IGリール動画,,通算,206,180,1,0,0,0,0
17972104235843505,17841478326496503,eggrypto_official,エグリプト公式,"佐野万次郎★5
エグリプト×東京リベンジャーズコラボ

開催期間：2/13(金)12:00 ～ 2/27(金)11:59",12,"02/08/2026 21:30",https://www.instagram.com/reel/DUhoa3FDyFl/,IGリール動画,,通算,32,26,1,0,0,0,0
17929796271011310,17841478326496503,eggrypto_official,エグリプト公式,"エグリプトのキャラクターをご紹介！ 
モチーフを知ると、もっとキャラが好きになるかも？✨

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

⚡ 【神話】

ヘスティア ：「ギリシャ神話」の""炉の女神""ヘスティアー 🔥
タケミカヅチ ：「日本神話」の""雷の神・剣の神""タケミカヅチ

- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

みんなの「推し」はいましたか？ ぜひコメントで教えてください！

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム #エグリプト好きと繋がりたい #キャラデザ #豆知識 #童話シリーズ #天使シリーズ #神話シリーズ #ダークアリス #赤ずきん #ガブリエル #ラファエル #ヘスティア #タケミカヅチ #不思議の国のアリス #ギリシャ神話 #日本神話 #大天使",0,"11/11/2025 19:48",https://www.instagram.com/p/DQ8R_ijD4eh/,Instagram画像,,通算,3173,2307,20,0,0,0,12
